"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"    As an API consumer
    I want to authenticate via the login API endpoint
    So that I can receive a valid token for subsequent API calls","530","API login fails with invalid credentials","","2026-06-06","passed","2026-06-06","","Customer Login - API Tests","API login fails with invalid credentials",""
"    As a registered customer of the E-Commerce platform
    I want to be able to log in to my account
    So that I can access my account dashboard and manage my orders","90441","Login fails with invalid credentials","","2026-06-06","broken","2026-06-06","","Customer Login - UI Tests","Login fails with invalid credentials",""
"    As a registered customer of the E-Commerce platform
    I want to be able to log in to my account
    So that I can access my account dashboard and manage my orders","90445","Login fails with various invalid inputs","","2026-06-06","broken","2026-06-06","","Customer Login - UI Tests","Login fails with various invalid inputs",""
"    As an API consumer
    I want to authenticate via the login API endpoint
    So that I can receive a valid token for subsequent API calls","637","API login fails with missing password","","2026-06-06","passed","2026-06-06","","Customer Login - API Tests","API login fails with missing password",""
"    As a registered customer of the E-Commerce platform
    I want to be able to log in to my account
    So that I can access my account dashboard and manage my orders","90440","Login page elements are displayed correctly","","2026-06-06","broken","2026-06-06","","Customer Login - UI Tests","Login page elements are displayed correctly",""
"    As an API consumer
    I want to authenticate via the login API endpoint
    So that I can receive a valid token for subsequent API calls","20080","Successful API login returns token","","2026-06-06","passed","2026-06-06","","Customer Login - API Tests","Successful API login returns token",""
"    As a registered customer of the E-Commerce platform
    I want to be able to log in to my account
    So that I can access my account dashboard and manage my orders","90433","Successful login using test data file","","2026-06-06","broken","2026-06-06","","Customer Login - UI Tests","Successful login using test data file",""
"    As a registered customer of the E-Commerce platform
    I want to be able to log in to my account
    So that I can access my account dashboard and manage my orders","91437","Successful login with valid credentials","","2026-06-06","broken","2026-06-06","","Customer Login - UI Tests","Successful login with valid credentials",""
"    As an API consumer
    I want to authenticate via the login API endpoint
    So that I can receive a valid token for subsequent API calls","635","API login fails with missing email","","2026-06-06","passed","2026-06-06","","Customer Login - API Tests","API login fails with missing email",""
"    As a registered customer of the E-Commerce platform
    I want to be able to log in to my account
    So that I can access my account dashboard and manage my orders","90444","Login fails with various invalid inputs","","2026-06-06","broken","2026-06-06","","Customer Login - UI Tests","Login fails with various invalid inputs",""
"    As a registered customer of the E-Commerce platform
    I want to be able to log in to my account
    So that I can access my account dashboard and manage my orders","90436","Login fails with various invalid inputs","","2026-06-06","broken","2026-06-06","","Customer Login - UI Tests","Login fails with various invalid inputs",""
"    As a registered customer of the E-Commerce platform
    I want to be able to log in to my account
    So that I can access my account dashboard and manage my orders","90448","Login fails with various invalid inputs","","2026-06-06","broken","2026-06-06","","Customer Login - UI Tests","Login fails with various invalid inputs",""
