"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"    As a registered customer of the E-Commerce platform
    I want to be able to log in to my account
    So that I can access my account dashboard and manage my orders","4017","Login fails with various invalid inputs","","2026-06-16","passed","2026-06-16","","Customer Login - UI Tests","Login fails with various invalid inputs",""
"    As a registered customer of the E-Commerce platform
    I want to be able to log in to my account
    So that I can access my account dashboard and manage my orders","4480","Login fails with various invalid inputs","","2026-06-16","passed","2026-06-16","","Customer Login - UI Tests","Login fails with various invalid inputs",""
"    As a registered customer of the E-Commerce platform
    I want to be able to log in to my account
    So that I can access my account dashboard and manage my orders","6534","Successful login with valid credentials","","2026-06-16","passed","2026-06-16","","Customer Login - UI Tests","Successful login with valid credentials",""
"    As a registered customer of the E-Commerce platform
    I want to be able to log in to my account
    So that I can access my account dashboard and manage my orders","4458","Login fails with various invalid inputs","","2026-06-16","passed","2026-06-16","","Customer Login - UI Tests","Login fails with various invalid inputs",""
"    As a registered customer of the E-Commerce platform
    I want to be able to log in to my account
    So that I can access my account dashboard and manage my orders","3775","Login page elements are displayed correctly","","2026-06-16","passed","2026-06-16","","Customer Login - UI Tests","Login page elements are displayed correctly",""
"    As an API consumer
    I want to authenticate via the login API endpoint
    So that I can receive a valid token for subsequent API calls","534","API login fails with invalid credentials","","2026-06-16","passed","2026-06-16","","Customer Login - API Tests","API login fails with invalid credentials",""
"    As an API consumer
    I want to authenticate via the login API endpoint
    So that I can receive a valid token for subsequent API calls","16762","Successful API login returns token","","2026-06-16","passed","2026-06-16","","Customer Login - API Tests","Successful API login returns token",""
"    As a registered customer of the E-Commerce platform
    I want to be able to log in to my account
    So that I can access my account dashboard and manage my orders","4090","Login fails with various invalid inputs","","2026-06-16","passed","2026-06-16","","Customer Login - UI Tests","Login fails with various invalid inputs",""
"    As an API consumer
    I want to authenticate via the login API endpoint
    So that I can receive a valid token for subsequent API calls","442","API login fails with missing password","","2026-06-16","passed","2026-06-16","","Customer Login - API Tests","API login fails with missing password",""
"    As an API consumer
    I want to authenticate via the login API endpoint
    So that I can receive a valid token for subsequent API calls","537","API login fails with missing email","","2026-06-16","passed","2026-06-16","","Customer Login - API Tests","API login fails with missing email",""
"    As a registered customer of the E-Commerce platform
    I want to be able to log in to my account
    So that I can access my account dashboard and manage my orders","4482","Successful login using test data file","","2026-06-16","passed","2026-06-16","","Customer Login - UI Tests","Successful login using test data file",""
"    As a registered customer of the E-Commerce platform
    I want to be able to log in to my account
    So that I can access my account dashboard and manage my orders","4066","Login fails with invalid credentials","","2026-06-16","passed","2026-06-16","","Customer Login - UI Tests","Login fails with invalid credentials",""
